id,fecha_utc,latitud,longitud,profundidad_km,magnitud,tipo_magnitud,lugar
us7000m8jt,2024-03-24 06:17:10.604,-18.3632,-66.1633,10.0,4.1,mb,"40 km NNW of Colquechaca, Bolivia"
us6000mkyv,2024-03-24 13:16:17.553,-30.0364,-71.8222,27.582,4.1,mb,"47 km W of Coquimbo, Chile"
us6000mkzs,2024-03-24 19:50:11.425,-19.4577,-70.1006,79.08,5.0,mwr,"33 km SSE of Cuya, Chile"
us7000m81g,2024-03-26 07:41:33.991,-23.9978,-66.9956,219.019,4.3,mb,"73 km WNW of San Antonio de los Cobres, Argentina"
us7000m81k,2024-03-26 07:59:13.449,-35.3596,-69.572,186.07,4.4,mb,"140 km SW of San Rafael, Argentina"
us7000m87t,2024-03-27 05:08:27.713,-23.5957,-68.0426,128.724,4.9,mb,"77 km SSE of San Pedro de Atacama, Chile"
us7000m88z,2024-03-27 10:38:16.606,-22.1183,-67.2903,174.681,4.8,mb,"128 km NE of San Pedro de Atacama, Chile"
us7000m891,2024-03-27 10:54:50.330,-31.7001,-67.1476,128.935,4.7,mb,"107 km E of Caucete, Argentina"
us7000m8c7,2024-03-27 15:29:39.325,-24.4554,-69.5779,78.936,4.7,mb,"121 km SE of Antofagasta, Chile"
us7000m8gx,2024-03-28 06:37:17.418,-17.7304,-69.1885,156.95,4.3,mb,"81 km W of Curahuara de Carangas, Bolivia"
us7000m8t3,2024-03-29 19:39:20.663,-41.7193,-74.0387,25.923,3.9,mwr,"24 km NW of Ancud, Chile"
us7000m8va,2024-03-30 00:49:04.598,-22.5557,-66.3105,256.042,4.4,mb,"65 km WNW of Abra Pampa, Argentina"
us7000m8vn,2024-03-30 03:54:10.444,-24.8759,-68.244,95.006,4.5,mb,"155 km NNW of Antofagasta de la Sierra, Argentina"
us7000m8w8,2024-03-30 06:56:46.991,-21.5458,-68.5614,136.487,4.1,mb,"47 km SW of Ollagüe, Chile"
us7000m8wg,2024-03-30 08:35:05.948,-21.0951,-68.9704,115.921,4.5,mb,"75 km W of Ollagüe, Chile"
us7000m8wl,2024-03-30 09:03:18.301,-23.812,-71.1518,10.0,4.3,mb,"79 km WSW of Antofagasta, Chile"
us7000m93a,2024-03-31 17:17:52.021,-31.0444,-71.4045,62.09,4.5,mb,"52 km SSW of Ovalle, Chile"
us7000m95j,2024-04-01 05:22:56.330,-22.4806,-68.6709,112.581,4.1,mb,"26 km E of Calama, Chile"
